formula,pubchemformula,name,CAS,hazard,NO3,element,nitride,oxide,NH4,dichromate,chloride,H2O,acetate,carbonate,chromate,hydroxide,oxalate,hydride,chlorate,acid,nitrite,peroxide
HgO,HgO,"Mercury(II) oxide red, for analysis EMSURE",21908-53-2,"['H400', 'H330', 'H410', 'H310', 'H373', 'H300']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mo,Mo,Molybdenum,7439-98-7,[],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MoO2,MoO2,Molybdenum(IV) oxide,18868-43-4,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MoO3,MoO3,Molybdenum(VI) oxide for analysis EMSURE,1313-27-5,"['H335', 'H319', 'H351']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3NdO9·6H2O,H12N3NdO15,Neodymium(III) nitrate hexahydrate,16454-60-7,"['H319', 'H315', 'H335', 'H272']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nd2O3,Nd2O3,Neodymium(III) oxide 99,1313-97-9,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nd,Nd,"Neodymium, powder, ",7440-00-8,"['H319', 'H228', 'H251', 'H315']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ni,Ni,Nickel,7440-02-0,"['H317', 'H412', 'H372', 'H351']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4H6NiO4·4H2O,C4H14NiO8,Nickel(II) acetate tetrahydrate,6018-89-9,"['H317', 'H400', 'H332', 'H302', 'H341', 'H334', 'H410', 'H350', 'H373', 'H372', 'H360D']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
H2NiO2,H4NiO2,Nickel(II) hydroxide,12054-48-7,"['H317', 'H315', 'H400', 'H332', 'H302', 'H341', 'H334', 'H410', 'H350i', 'H372', 'H360D']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ni(NO3)2·6H2O,H12N2NiO12,Nickel(II) nitrate hexahydrate for analysis,13478-00-7,"['H317', 'H315', 'H318', 'H400', 'H332', 'H302', 'H360', 'H341', 'H334', 'H272', 'H410', 'H350', 'H373', 'H372']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NiO,NiO,Nickel(II) oxide,1313-99-1,"['H350i', 'H317', 'H413', 'H372']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nb,Nb,Niobium,3/1/7440,[],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NbO2,NbO2,Niobium(IV) oxide,12034-59-2,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nb2O5,Nb2O5,Niobium(V) oxide,1313-96-8,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Os,Os,Osmium,4/2/7440,"['H335', 'H228', 'H315', 'H318']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O4Os,O4Os,Osmium tetroxide,20816-12-0,"['H318', 'H330', 'H314', 'H310', 'H300']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pd,Pd,Palladium,5/3/7440,"['H319', 'H228', 'H335', 'H315']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(C2H3O2)2Pd,C4H6O4Pd,Palladium(II) acetate (47,3375-31-3,"['H317', 'H410', 'H318', 'H400']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OPd,OPd,Palladium(II) oxide,1314-08-5,['H272'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt,Pt,Platinum,6/4/7440,['H228'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2Pt,O2Pt,Platinum(IV) oxide,1314-15-4,['H271'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,K,Potassium,9/7/7440,"['H260', 'H314', 'H318']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHCO3,CHKO3,Potassium bicarbonate,298-14-6,[],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
K2CO3,CK2O3,Potassium carbonate,584-08-7,"['H335', 'H319', 'H315']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KClO3,ClKO3,Potassium chlorate,4/9/3811,"['H271', 'H411', 'H332', 'H302']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cr2K2O7,Cr2K2O7,Potassium dichromate,7778-50-9,"['H340', 'H317', 'H318', 'H400', 'H330', 'H314', 'H360FD', 'H334', 'H335', 'H312', 'H272', 'H410', 'H350', 'H372', 'H301']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
KO2,,Potassium dioxide,12030-88-5,"['H271', 'H314']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HKO,HKO,Potassium hydroxide,1310-58-3,"['H315', 'H318', 'H319', 'H314', 'H302', 'H290']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
K2MoO4,K2MoO4,Potassium molybdate,13446-49-6,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNO3,KNO3,Potassium nitrate,7757-79-1,['H272'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ClKO4,ClKO4,Potassium perchlorate,7778-74-7,"['H271', 'H302']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
K2O4W,K2O4W,Potassium tungstate,7790-60-5,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3O9Pr·6H2O,H12N3O15Pr,Praseodymium(III) nitrate hexahydrate,15878-77-0,"['H319', 'H315', 'H400', 'H272', 'H410']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
O3Pr2,O3Pr2,Praseodymium(III) oxide,12036-32-7,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O11Pr6,,"Praseodymium(III,IV) oxide",12037-29-5,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pr,Pr,"Praseodymium, powder, Pr, max",7440-10-0,"['H319', 'H413', 'H315', 'H250']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Re,Re,Rhenium,7440-15-5,['H228'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2Re,O2Re,Rhenium(IV) oxide,12036-09-8,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3Re,O3Re,Rhenium(VI) oxide,1314-28-9,"['H335', 'H319']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O7Re2,O7Re2,Rhenium(VII) oxide,1314-68-7,['H314'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rh,Rh,Rhodium,7440-16-6,[],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3Rh2,,Rhodium(III) oxide,12036-35-0,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rb,Rb,Rubidium,7440-17-7,"['H260', 'H314', 'H318']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO3Rb2,CO3Rb2,Rubidium carbonate,584-09-8,"['H335', 'H314', 'H318']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NO3Rb,NO3Rb,Rubidium nitrate,13126-12-0,['H272'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ru,Ru,Ruthenium,7440-18-8,[],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2Ru,O2Ru,Ruthenium(IV) oxide,12036-10-1,['H319'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sm,Sm,Samarium,7440-19-9,"['H228', 'H261']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3O9Sm·6H2O,H12N3O15Sm,Samarium(III) nitrate hexahydrate,13759-83-6,"['H319', 'H315', 'H335', 'H272']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
O3Sm2,O3Sm2,Samarium(III) oxide,12060-58-1,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sc2O3,O3Sc2,Scandium(III) oxide,12060-08-1,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2O4Se,H2O4Se,Selenic acid solution,8/6/7783,"['H318', 'H400', 'H314', 'H410', 'H331', 'H373', 'H301']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Se,Se,Selenium,7782-49-2,"['H413', 'H373', 'H301', 'H331']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2Se,O2Se,Selenium dioxide,8/4/7446,"['H400', 'H410', 'H331', 'H373', 'H301']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2O3Se,H2O3Se,Selenous acid,7783-00-8,"['H400', 'H410', 'H331', 'H373', 'H301']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ag,Ag,Silver,7440-22-4,"['H410', 'H400']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2H3AgO2,C2H3AgO2,Silver acetate,563-63-3,"['H335', 'H319', 'H315', 'H400']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ag2CO3,Compound(92796),"Silver Carbonate,Technipur(TM),",534-16-7,"['H410', 'H318', 'H400']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AgxO,Ag2O,Silver oxide,11113-88-5,"['H319', 'H315', 'H335', 'H272']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag2O,,Silver(I) oxide,20667-12-3,"['H271', 'H410', 'H318', 'H400']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Na,Na,Sodium,7440-23-5,"['H318', 'H260', 'H314']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3Na,N3Na,Sodium azide,26628-22-8,"['H400', 'H330', 'H410', 'H310', 'H373', 'H300']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHNaO3,CHNaO3,Sodium Bicarbonate (3 g),144-55-8,[],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CNa2O3,CNa2O3,Sodium carbonate concentrate,497-19-8,['H319'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ClNaO3,ClNaO3,Sodium chlorate,9/9/7775,"['H271', 'H411', 'H302']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NaOH,HNaO,Sodium hydroxide,1310-73-2,"['H319', 'H315', 'H318', 'H314', 'H290']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NaO3V,NaO3V,Sodium metavanadate,13718-26-8,"['H319', 'H332', 'H301', 'H411', 'H361fd', 'H372']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MoNa2O4,MoNa2O4,Sodium molybdate,7631-95-0,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NNaO3,NNaO3,Sodium nitrate,7631-99-4,"['H319', 'H272']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NNaO2,NNaO2,Sodium nitrite,7632-00-0,"['H319', 'H301', 'H272', 'H400']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Na3O4V,Na3O4V,Sodium orthovanadate,13721-39-6,"['H319', 'H315', 'H332', 'H302', 'H312']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2Na2O4,C2Na2O4,Sodium oxalate,62-76-0,"['H312', 'H302']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Na2O,Na2O,Sodium oxide,1313-59-3,"['H271', 'H314', 'H318']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Na2O2,Na2O2,Sodium peroxide for synthesis,1313-60-6,"['H271', 'H314']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Na2O4W·2H2O,H4Na2O6W,Sodium tungstate dihydrate,10213-10-2,['H302'],0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sr,Sr,Strontium,7440-24-6,"['H260', 'H315']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO3Sr,CO3Sr,Strontium carbonate,1633-05-2,[],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
H2O2Sr,H2O2Sr,Strontium hydroxide,18480-07-4,"['H314', 'H318']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
N2O6Sr,N2O6Sr,Strontium nitrate,10042-76-9,"['H271', 'H318']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSr,,Strontium oxide,1314-11-0,['H314'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2Sr,O2Sr,Strontium peroxide,1314-18-7,"['H335', 'H315', 'H272', 'H318']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ta,Ta,Tantalum,7440-25-7,['H228'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O5Ta2,,Tantalum(V) oxide,1314-61-0,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H6O6Te,H6O6Te,Telluric acid,7803-68-1,['H332'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Te,Te,Tellurium,13494-80-9,"['H317', 'H332', 'H362', 'H413', 'H360Df']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2Te,O2Te,Tellurium dioxide,7/3/7446,"['H317', 'H332', 'H362', 'H411', 'H360Df']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tb,Tb,Terbium,7440-27-9,"['H319', 'H315', 'H228', 'H251', 'H413']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3O9Tb·6H2O,H12N3O15Tb,Terbium(III) nitrate hexahydrate,13451-19-9,"['H319', 'H315', 'H335', 'H272']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tb2O3,,Terbium(III) oxide,12036-41-8,"['H335', 'H319', 'H315']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tl,Tl,Thallium,7440-28-0,"['H330', 'H413', 'H373', 'H300']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO3Tl2,CO3Tl2,Thallium(I) carbonate,6533-73-9,"['H330', 'H411', 'H373', 'H300']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NO3Tl,,Thallium(I) nitrate,10102-45-1,"['H330', 'H411', 'H373', 'H300']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3Tl2,O3Tl2,Thallium(III) oxide,1314-32-5,"['H330', 'H411', 'H373', 'H300']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3Tm2,,Thulium(III) oxide,12036-44-1,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sn,Sn,Tin,7440-31-5,[],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSn,OSn,Tin(II) oxide,21651-19-4,"['H372', 'H319', 'H317', 'H302']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2Sn,O2Sn,Tin(IV) oxide,18282-10-5,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ti,Ti,Titanium,7440-32-6,['H228'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3Ti2,O3Ti2,Titanium(III) oxide,1344-54-3,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TiO2,O2Ti,Titanium(IV) oxide,13463-67-7,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH3O3,BH3O3,Trace Metal Mix A5 with Co,10043-35-3,['H360FD'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
W,W,Tungsten,7440-33-7,[],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2W,O2W,Tungsten(IV) oxide,12036-22-5,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3W,O3W,Tungsten(VI) oxide,1314-35-8,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V,V,Vanadium,7440-62-2,[],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3V2,O3V2,Vanadium(III) oxide,1314-34-7,"['H332', 'H319']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2V,O2V,Vanadium(IV) oxide,12036-21-4,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O5V2,O5V2,Vanadium(V) oxide,1314-62-1,"['H330', 'H362', 'H341', 'H411', 'H335', 'H361fd', 'H350', 'H372', 'H301']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3Yb2,O3Yb2,Ytterbium(III) oxide,1314-37-0,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yb,Yb,"Ytterbium, powder, ",7440-64-4,"['H315', 'H319', 'H228', 'H332', 'H302', 'H335', 'H312']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Yttrium,7440-65-5,[],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3O9Y·6H2O,H12N3O15Y,Yttrium(III) nitrate hexahydrate,13494-98-9,"['H410', 'H302', 'H318', 'H400']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
O3Y2,O3Y2,Yttrium(III) oxide,1314-36-9,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4H6O4Zn·2H2O,C4H10O6Zn,Zinc acetate dihydrate,5970-45-6,"['H411', 'H302', 'H318']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
H2O2Zn,H2O2Zn,Zinc peroxide,1314-22-3,"['H319', 'H315', 'H400', 'H271', 'H410']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ZrN,NZr,"Zirconium Nitride, powder, ZrN, max",25658-42-8,[],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2Zr,,Zirconium(IV) oxide,1314-23-4,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cl2OZr·8H2O,Cl2H18O9Zr,Zirconyl chloride octahydrate,13520-92-8,['H314'],0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ZnO,C2H6O,Zinc oxide,1314-13-2,"['H411', 'H410']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
